epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.85381,1.68143,0.3876,0.96899,1.50625,7.03682e-06,7.03682e-06,0.0806131
2,8.83019,1.42266,0.46512,0.9845,1.26338,1.35118e-05,1.35118e-05,0.0606196
3,12.6375,1.24333,0.55039,0.99225,1.33613,1.91929e-05,1.91929e-05,0.0406253
4,17.6261,1.16611,0.52713,0.99225,0.979,2.40802e-05,2.40802e-05,0.0206301
5,21.5192,1.08102,0.55814,0.99225,1.3416,2.81738e-05,2.81738e-05,0.000634234
6,26.4115,1.05248,0.55814,0.99225,0.89077,2.63611e-05,2.63611e-05,2.63611e-05
7,29.1014,1.01267,0.56589,0.99225,1.03027,2.43766e-05,2.43766e-05,2.43766e-05
8,33.9197,1.0089,0.5969,0.9845,0.85894,2.23921e-05,2.23921e-05,2.23921e-05
9,37.1965,0.97686,0.6124,0.9845,0.97334,2.04076e-05,2.04076e-05,2.04076e-05
10,41.3588,0.93516,0.6124,0.9845,1.28809,1.84231e-05,1.84231e-05,1.84231e-05
11,44.4096,0.98572,0.62016,1,0.99014,1.64385e-05,1.64385e-05,1.64385e-05
12,47.7374,0.9329,0.62016,0.9845,1.03154,1.4454e-05,1.4454e-05,1.4454e-05
13,52.6326,0.89929,0.62791,0.9845,1.21865,1.24695e-05,1.24695e-05,1.24695e-05
14,56.966,0.90172,0.65116,0.99225,1.02461,1.0485e-05,1.0485e-05,1.0485e-05
15,59.7204,0.87865,0.63566,1,0.80535,8.50053e-06,8.50053e-06,8.50053e-06
