epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.30905,1.80548,0.26923,0.91538,1.76426,0.00226327,0.00226327,0.0780208
2,9.04891,1.57652,0.34615,0.98462,1.55117,0.00442012,0.00442012,0.0551777
3,12.5371,1.36445,0.40769,0.96923,1.40313,0.00639707,0.00639707,0.0321547
4,15.7431,1.16979,0.46923,0.96923,1.21824,0.00819415,0.00819415,0.00895173
5,19.163,1.05955,0.44615,0.96154,1.78125,0.00789694,0.00789694,0.00789694
6,25.166,1.01306,0.52308,0.96923,2.01895,0.00753717,0.00753717,0.00753717
7,28.527,0.8976,0.57692,0.98462,1.12708,0.0071774,0.0071774,0.0071774
8,31.8019,0.87442,0.53077,0.97692,1.54492,0.00681764,0.00681764,0.00681764
9,35.1221,0.81509,0.50769,0.96154,1.26777,0.00645787,0.00645787,0.00645787
10,38.3399,0.63083,0.51538,0.98462,1.37393,0.0060981,0.0060981,0.0060981
11,41.5122,0.6878,0.52308,0.98462,1.38789,0.00573834,0.00573834,0.00573834
12,44.7572,0.58881,0.50769,0.96923,1.52656,0.00537857,0.00537857,0.00537857
