epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.04111,1.70224,0.36154,0.96923,1.34277,0.00025453,0.00025453,0.0682545
2,7.96157,1.27973,0.42308,0.97692,1.24963,0.0004864,0.0004864,0.0354864
3,10.8258,1.17562,0.47692,0.96923,1.56289,0.000687185,0.000687185,0.00268718
4,13.6216,1.02643,0.47692,0.97692,1.4998,0.00065411,0.00065411,0.00065411
5,16.4493,0.97338,0.47692,0.96923,1.97852,0.000607011,0.000607011,0.000607011
6,20.504,0.83172,0.44615,0.95385,1.61191,0.000559912,0.000559912,0.000559912
7,23.4356,0.71889,0.45385,0.97692,1.88008,0.000512814,0.000512814,0.000512814
8,28.6264,0.68673,0.46923,0.98462,1.41182,0.000465715,0.000465715,0.000465715
9,31.4373,0.63644,0.5,0.98462,1.56328,0.000418616,0.000418616,0.000418616
10,34.3271,0.5885,0.53077,0.98462,1.67656,0.000371517,0.000371517,0.000371517
11,37.2057,0.49325,0.55385,0.98462,1.71602,0.000324418,0.000324418,0.000324418
12,40.1257,0.3705,0.5,0.97692,1.49043,0.000277319,0.000277319,0.000277319
13,42.9764,0.36509,0.53077,1,1.6873,0.000230221,0.000230221,0.000230221
14,45.8383,0.29291,0.50769,0.99231,1.45859,0.000183122,0.000183122,0.000183122
15,48.8105,0.27505,0.46923,1,1.48037,0.000136023,0.000136023,0.000136023
