epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.25145,0.68772,0.66923,1,0.60342,1.76973e-05,1.76973e-05,0.0680177
2,8.27254,0.57268,0.71538,1,0.49025,3.37084e-05,3.37084e-05,0.0350337
3,11.1677,0.53834,0.70769,1,0.55747,4.74458e-05,4.74458e-05,0.00204745
4,14.1455,0.49074,0.73846,1,0.56274,4.49691e-05,4.49691e-05,4.49691e-05
5,17.0271,0.46087,0.74615,1,0.4707,4.15242e-05,4.15242e-05,4.15242e-05
6,21.1324,0.43289,0.73846,1,0.4623,3.80792e-05,3.80792e-05,3.80792e-05
7,24.1459,0.43048,0.75385,1,0.48213,3.46343e-05,3.46343e-05,3.46343e-05
8,27.1491,0.40576,0.76154,1,0.52856,3.11893e-05,3.11893e-05,3.11893e-05
9,30.0592,0.38917,0.76154,1,0.58813,2.77444e-05,2.77444e-05,2.77444e-05
10,32.9887,0.36343,0.74615,1,0.43684,2.42994e-05,2.42994e-05,2.42994e-05
11,35.8858,0.37638,0.75385,1,0.43423,2.08545e-05,2.08545e-05,2.08545e-05
12,38.7907,0.35098,0.76154,1,0.49136,1.74095e-05,1.74095e-05,1.74095e-05
13,41.6627,0.3487,0.77692,1,0.5627,1.39646e-05,1.39646e-05,1.39646e-05
14,44.5553,0.32981,0.77692,1,0.46973,1.05196e-05,1.05196e-05,1.05196e-05
15,47.4161,0.34377,0.76154,1,0.42175,7.07468e-06,7.07468e-06,7.07468e-06
