epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.7878,1.75736,0.38462,0.93846,1.50156,3.2e-05,3.2e-05,0.068032
2,15.2566,1.43512,0.46154,0.99231,1.38652,6.2426e-05,6.2426e-05,0.0350624
3,18.9639,1.29007,0.49231,1,1.2752,9.02384e-05,9.02384e-05,0.00209024
4,22.6753,1.16877,0.53846,1,1.04199,8.812e-05,8.812e-05,8.812e-05
5,26.3896,1.12424,0.52308,1,1.20273,8.416e-05,8.416e-05,8.416e-05
6,29.916,1.01243,0.5,1,1.00352,8.02e-05,8.02e-05,8.02e-05
7,33.7618,0.94412,0.50769,1,1.03418,7.624e-05,7.624e-05,7.624e-05
8,37.7453,0.92323,0.51538,1,1.28994,7.228e-05,7.228e-05,7.228e-05
9,44.5978,0.83624,0.52308,1,1.18271,6.832e-05,6.832e-05,6.832e-05
