epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.3526,1.78616,0.31783,0.94574,1.62383,0.00226327,0.00226327,0.0780208
2,11.937,1.62241,0.51938,0.96124,1.19004,0.00442012,0.00442012,0.0551777
3,15.5691,1.35462,0.51163,0.9845,1.45234,0.00639707,0.00639707,0.0321547
4,18.9277,1.2476,0.53488,1,1.01343,0.00819415,0.00819415,0.00895173
5,22.4177,1.16578,0.52713,0.99225,1.07031,0.00789694,0.00789694,0.00789694
6,26.0727,1.00567,0.4031,0.97674,1.36094,0.00753717,0.00753717,0.00753717
7,29.5145,0.86753,0.51938,0.99225,1.23242,0.0071774,0.0071774,0.0071774
8,33.4,0.79287,0.55039,0.9845,0.95845,0.00681764,0.00681764,0.00681764
9,37.3159,0.73875,0.5814,1,0.96404,0.00645787,0.00645787,0.00645787
10,43.6702,0.71888,0.56589,0.99225,1.61934,0.0060981,0.0060981,0.0060981
11,47.2872,0.69569,0.56589,1,1.60469,0.00573834,0.00573834,0.00573834
12,51.0189,0.60399,0.51163,0.99225,1.4248,0.00537857,0.00537857,0.00537857
13,54.8353,0.55054,0.62791,1,1.17061,0.00501881,0.00501881,0.00501881
14,58.3621,0.57125,0.5969,0.9845,1.06865,0.00465904,0.00465904,0.00465904
15,62.322,0.49255,0.62016,1,0.92041,0.00429927,0.00429927,0.00429927
16,67.4831,0.48843,0.64341,1,0.84769,0.00393951,0.00393951,0.00393951
17,71.5642,0.41012,0.63566,0.99225,0.91827,0.00357974,0.00357974,0.00357974
18,77.6849,0.36312,0.64341,1,0.89301,0.00321998,0.00321998,0.00321998
19,81.3564,0.38759,0.63566,0.99225,0.93234,0.00286021,0.00286021,0.00286021
20,85.0157,0.29871,0.6124,0.9845,1.28174,0.00250044,0.00250044,0.00250044
21,88.4604,0.3807,0.6124,0.9845,1.68906,0.00214068,0.00214068,0.00214068
