epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.59968,0.69169,0.55385,1,0.68779,4.25373e-05,4.25373e-05,0.0680425
2,7.40877,0.64682,0.62308,1,0.63965,8.17418e-05,8.17418e-05,0.0350817
3,9.55756,0.58172,0.62308,1,0.59756,0.000116212,0.000116212,0.00211621
4,11.9851,0.54787,0.63846,1,0.54363,0.000111412,0.000111412,0.000111412
5,14.4419,0.52558,0.64615,1,0.55679,0.000104239,0.000104239,0.000104239
6,18.0144,0.50549,0.64615,1,0.53237,9.70665e-05,9.70665e-05,9.70665e-05
7,20.1186,0.49267,0.65385,1,0.59751,8.98939e-05,8.98939e-05,8.98939e-05
8,22.3125,0.47973,0.7,1,0.56572,8.27214e-05,8.27214e-05,8.27214e-05
9,24.6019,0.46722,0.69231,1,0.58667,7.55488e-05,7.55488e-05,7.55488e-05
10,26.8644,0.44434,0.67692,1,0.73315,6.83763e-05,6.83763e-05,6.83763e-05
11,29.5347,0.45243,0.7,1,0.50601,6.12038e-05,6.12038e-05,6.12038e-05
12,31.7914,0.43044,0.71538,1,0.54517,5.40312e-05,5.40312e-05,5.40312e-05
13,34.0299,0.42236,0.67692,1,0.54219,4.68587e-05,4.68587e-05,4.68587e-05
14,36.1628,0.42461,0.70769,1,0.60581,3.96861e-05,3.96861e-05,3.96861e-05
15,38.3985,0.41399,0.72308,1,0.50083,3.25136e-05,3.25136e-05,3.25136e-05
