epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.96435,0.74284,0.57692,1,0.68008,0.000299755,0.000299755,0.0682998
2,6.38259,0.63207,0.73846,1,0.474,0.000570543,0.000570543,0.0355705
3,8.35825,0.54853,0.7,1,0.5376,0.000802404,0.000802404,0.0028024
4,10.4511,0.49321,0.73077,1,0.45225,0.000759802,0.000759802,0.000759802
5,12.5597,0.43398,0.74615,1,0.48364,0.000700824,0.000700824,0.000700824
6,15.7081,0.41897,0.75385,1,0.48408,0.000641847,0.000641847,0.000641847
7,17.7995,0.38868,0.77692,1,0.44175,0.000582869,0.000582869,0.000582869
8,20.1526,0.3745,0.73846,1,0.46973,0.000523891,0.000523891,0.000523891
9,22.3643,0.31789,0.76154,1,0.43508,0.000464913,0.000464913,0.000464913
10,24.3005,0.32022,0.76923,1,0.42547,0.000405935,0.000405935,0.000405935
11,26.6126,0.33616,0.74615,1,0.55352,0.000346958,0.000346958,0.000346958
12,28.7408,0.3013,0.74615,1,0.46377,0.00028798,0.00028798,0.00028798
13,31.0624,0.30729,0.73846,1,0.50391,0.000229002,0.000229002,0.000229002
14,32.8333,0.29188,0.73846,1,0.45734,0.000170024,0.000170024,0.000170024
15,34.9942,0.28607,0.73077,1,0.45136,0.000111046,0.000111046,0.000111046
