epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.4861,0.74423,0.68462,1,0.61494,1.80832e-05,1.80832e-05,0.0806241
2,6.7848,0.62849,0.73846,1,0.45693,3.45486e-05,3.45486e-05,0.0606406
3,8.83212,0.58403,0.75385,1,0.48394,4.87975e-05,4.87975e-05,0.0406549
4,11.0143,0.49694,0.76154,1,0.42451,6.08299e-05,6.08299e-05,0.0206669
5,13.1035,0.45964,0.76923,1,0.46323,7.06458e-05,7.06458e-05,0.000676706
6,16.7301,0.44093,0.79231,1,0.3874,6.55353e-05,6.55353e-05,6.55353e-05
7,19.0505,0.42132,0.77692,1,0.39731,5.99941e-05,5.99941e-05,5.99941e-05
8,21.2113,0.37475,0.78462,1,0.48467,5.44529e-05,5.44529e-05,5.44529e-05
9,23.2796,0.35051,0.78462,1,0.6479,4.89117e-05,4.89117e-05,4.89117e-05
10,28.8508,0.30536,0.80769,1,0.42834,4.33705e-05,4.33705e-05,4.33705e-05
11,31.1616,0.30396,0.81538,1,0.41194,3.78293e-05,3.78293e-05,3.78293e-05
12,33.3482,0.27356,0.8,1,0.4543,3.22881e-05,3.22881e-05,3.22881e-05
13,35.4683,0.27364,0.80769,1,0.50977,2.67469e-05,2.67469e-05,2.67469e-05
14,37.5502,0.2296,0.78462,1,0.43206,2.12057e-05,2.12057e-05,2.12057e-05
15,39.6102,0.25646,0.8,1,0.45791,1.56645e-05,1.56645e-05,1.56645e-05
