epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.71271,0.7334,0.69231,1,0.78232,0.00193166,0.00193166,0.0699317
2,5.67688,0.58459,0.70769,1,0.58643,0.00368385,0.00368385,0.0386839
3,7.93297,0.52246,0.73077,1,0.59736,0.00519252,0.00519252,0.00719252
4,10.0529,0.48012,0.71538,1,0.6642,0.00492952,0.00492952,0.00492952
5,12.6654,0.36281,0.72308,1,0.56042,0.00456055,0.00456055,0.00456055
6,15.7658,0.31589,0.72308,1,0.69668,0.00419158,0.00419158,0.00419158
7,18.2734,0.3069,0.75385,1,0.80303,0.00382262,0.00382262,0.00382262
8,20.3597,0.2823,0.73846,1,0.97837,0.00345365,0.00345365,0.00345365
9,22.8353,0.28425,0.70769,1,0.78701,0.00308468,0.00308468,0.00308468
10,25.0607,0.23536,0.76154,1,0.68594,0.00271571,0.00271571,0.00271571
11,27.157,0.22431,0.74615,1,0.60275,0.00234674,0.00234674,0.00234674
12,29.6407,0.23102,0.74615,1,0.66621,0.00197777,0.00197777,0.00197777
13,31.6693,0.18128,0.76154,1,0.52241,0.0016088,0.0016088,0.0016088
14,33.7391,0.15659,0.74615,1,0.92715,0.00123983,0.00123983,0.00123983
15,36.3369,0.13991,0.76154,1,0.67515,0.000870862,0.000870862,0.000870862
