epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.41213,0.67126,0.67442,1,0.55039,0.000237162,0.000237162,0.0682372
2,9.56063,0.55089,0.71318,1,0.5396,0.000451959,0.000451959,0.035452
3,11.7126,0.49179,0.63566,1,0.70059,0.000636523,0.000636523,0.00263652
4,13.8293,0.42647,0.64341,1,0.59764,0.000603705,0.000603705,0.000603705
5,15.9291,0.36319,0.64341,1,0.909,0.000557897,0.000557897,0.000557897
6,19.0847,0.33274,0.65891,1,0.78546,0.000512089,0.000512089,0.000512089
7,21.2343,0.29339,0.66667,1,0.83486,0.000466281,0.000466281,0.000466281
8,23.4845,0.25631,0.68217,1,0.97119,0.000420472,0.000420472,0.000420472
9,25.668,0.21058,0.68992,1,0.69889,0.000374664,0.000374664,0.000374664
10,27.8643,0.19877,0.68217,1,0.81716,0.000328856,0.000328856,0.000328856
11,29.9865,0.17546,0.67442,1,0.81338,0.000283048,0.000283048,0.000283048
12,32.1404,0.12647,0.68992,1,0.72939,0.00023724,0.00023724,0.00023724
13,34.2331,0.11085,0.68217,1,0.99687,0.000191431,0.000191431,0.000191431
14,39.9072,0.10866,0.67442,1,0.81277,0.000145623,0.000145623,0.000145623
15,42.2105,0.11223,0.64341,1,2.32012,9.98148e-05,9.98148e-05,9.98148e-05
