epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.28603,0.68607,0.69767,1,0.59033,1.76973e-05,1.76973e-05,0.0680177
2,8.27671,0.56482,0.72868,1,0.56948,3.37084e-05,3.37084e-05,0.0350337
3,11.1129,0.50484,0.72093,1,0.62939,4.74458e-05,4.74458e-05,0.00204745
4,13.967,0.48755,0.68217,1,0.46136,4.49691e-05,4.49691e-05,4.49691e-05
5,16.8192,0.42592,0.69767,1,0.4825,4.15242e-05,4.15242e-05,4.15242e-05
6,21.9387,0.41214,0.67442,1,0.45103,3.80792e-05,3.80792e-05,3.80792e-05
7,24.8688,0.39123,0.70543,1,0.74727,3.46343e-05,3.46343e-05,3.46343e-05
8,27.803,0.3676,0.69767,1,0.79736,3.11893e-05,3.11893e-05,3.11893e-05
9,30.7371,0.36678,0.72093,1,0.63633,2.77444e-05,2.77444e-05,2.77444e-05
10,33.6249,0.37396,0.68217,1,0.49404,2.42994e-05,2.42994e-05,2.42994e-05
11,36.5599,0.33662,0.65116,1,0.56338,2.08545e-05,2.08545e-05,2.08545e-05
12,39.4164,0.32174,0.67442,1,0.49631,1.74095e-05,1.74095e-05,1.74095e-05
13,42.2794,0.30847,0.65116,1,0.62891,1.39646e-05,1.39646e-05,1.39646e-05
14,45.2196,0.30228,0.65891,1,0.51045,1.05196e-05,1.05196e-05,1.05196e-05
15,48.1242,0.32178,0.68217,1,0.7792,7.07468e-06,7.07468e-06,7.07468e-06
