epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.45814,0.72569,0.54615,1,0.73359,2.2282e-05,2.2282e-05,0.0680223
2,5.69806,0.71782,0.53846,1,0.70674,4.25842e-05,4.25842e-05,0.0350426
3,8.03955,0.69721,0.56154,1,0.73604,6.01692e-05,6.01692e-05,0.00206017
4,10.0726,0.69524,0.55385,1,0.71689,5.72801e-05,5.72801e-05,5.72801e-05
5,12.2114,0.68138,0.57692,1,0.68418,5.31631e-05,5.31631e-05,5.31631e-05
6,15.6773,0.66457,0.60769,1,0.65566,4.90461e-05,4.90461e-05,4.90461e-05
7,18.2644,0.66388,0.6,1,0.60713,4.49291e-05,4.49291e-05,4.49291e-05
8,20.4029,0.66021,0.59231,1,0.6209,4.08121e-05,4.08121e-05,4.08121e-05
9,22.5284,0.63717,0.60769,1,0.65449,3.66951e-05,3.66951e-05,3.66951e-05
10,24.6568,0.6377,0.60769,1,0.59556,3.25781e-05,3.25781e-05,3.25781e-05
11,26.9489,0.65074,0.60769,1,0.58521,2.84611e-05,2.84611e-05,2.84611e-05
12,29.3324,0.63978,0.62308,1,0.68076,2.43441e-05,2.43441e-05,2.43441e-05
13,31.5553,0.6397,0.62308,1,0.59854,2.02271e-05,2.02271e-05,2.02271e-05
14,33.807,0.62767,0.62308,1,0.6124,1.61101e-05,1.61101e-05,1.61101e-05
15,36.176,0.63168,0.63077,1,0.60039,1.19931e-05,1.19931e-05,1.19931e-05
