epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.65429,0.71446,0.55039,1,0.75068,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344
2,16.3697,0.68634,0.57364,1,0.61152,0.00303611,0.00101204,0.00303611,0.00101204,0.00303611,0.00101204,0.00303611,0.00101204
3,22.1853,0.62515,0.63566,1,0.60479,0.00425405,0.00141802,0.00425405,0.00141802,0.00425405,0.00141802,0.00425405,0.00141802
4,30.9063,0.56953,0.65116,1,0.51582,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
5,36.4754,0.5304,0.65891,1,0.55068,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
6,43.1255,0.50916,0.65891,1,0.50167,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
7,48.8862,0.45974,0.66667,1,0.62148,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
8,54.6963,0.44417,0.65891,1,0.76738,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
9,63.1653,0.41894,0.69767,1,0.59902,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
10,68.9996,0.42871,0.68217,1,0.53424,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
11,74.5987,0.38838,0.65891,1,0.54863,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678
12,80.3148,0.34202,0.68217,1,0.54026,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758
13,86.1265,0.3435,0.68217,1,0.76406,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
14,91.7052,0.33398,0.66667,1,0.50605,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714
