epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.23261,1.7526,0.42308,0.95385,1.67637,0.000425959,0.000425959,0.068426
2,13.3861,1.37377,0.47692,0.99231,1.25742,0.00080835,0.00080835,0.0358083
3,16.3935,1.17226,0.42308,0.98462,1.39312,0.00113299,0.00113299,0.00313299
4,20.0259,1.10761,0.56923,0.96154,1.34043,0.0010686,0.0010686,0.0010686
5,23.0874,1.11942,0.44615,0.97692,1.46211,0.000981094,0.000981094,0.000981094
6,30.2198,1.03858,0.50769,0.98462,2.01465,0.000893587,0.000893587,0.000893587
7,34.5578,0.99407,0.44615,0.98462,1.27417,0.00080608,0.00080608,0.00080608
8,37.7332,0.93899,0.43846,0.99231,1.66758,0.000718573,0.000718573,0.000718573
9,42.8478,0.84519,0.51538,0.98462,1.52383,0.000631066,0.000631066,0.000631066
10,47.0843,0.78307,0.55385,0.99231,1.97119,0.000543559,0.000543559,0.000543559
11,50.403,0.80174,0.53846,1,1.34316,0.000456052,0.000456052,0.000456052
12,53.3952,0.76034,0.6,0.99231,1.0623,0.000368545,0.000368545,0.000368545
13,56.4158,0.67484,0.56154,1,1.35488,0.000281038,0.000281038,0.000281038
14,60.0452,0.61333,0.55385,1,1.40635,0.000193531,0.000193531,0.000193531
15,64.5371,0.62912,0.53846,1,1.56738,0.000106024,0.000106024,0.000106024
