epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.55604,0.67022,0.70769,1,0.63105,6.3239e-05,6.3239e-05,0.0680632
2,6.80067,0.55562,0.66923,1,0.65674,0.00012045,0.00012045,0.0351205
3,8.96507,0.46888,0.72308,1,0.59316,0.000169534,0.000169534,0.00216953
4,12.4508,0.3936,0.73846,1,0.54829,0.00016068,0.00016068,0.00016068
5,16.3485,0.31588,0.73077,1,0.55303,0.000148366,0.000148366,0.000148366
6,19.7997,0.26352,0.73077,1,0.62073,0.000136052,0.000136052,0.000136052
7,22.1156,0.22306,0.73077,1,0.91367,0.000123738,0.000123738,0.000123738
8,27.3078,0.21891,0.75385,1,0.64199,0.000111424,0.000111424,0.000111424
9,29.5393,0.1906,0.72308,1,0.69165,9.91096e-05,9.91096e-05,9.91096e-05
10,31.7826,0.14425,0.73846,1,0.70171,8.67956e-05,8.67956e-05,8.67956e-05
11,33.8573,0.16152,0.73077,1,0.7407,7.44815e-05,7.44815e-05,7.44815e-05
12,35.9975,0.12171,0.74615,1,1.0916,6.21675e-05,6.21675e-05,6.21675e-05
13,38.2518,0.12344,0.74615,1,0.69896,4.98534e-05,4.98534e-05,4.98534e-05
14,40.3802,0.11054,0.72308,1,0.67517,3.75394e-05,3.75394e-05,3.75394e-05
15,42.4636,0.14598,0.75385,1,1.10986,2.52254e-05,2.52254e-05,2.52254e-05
