epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.9878,0.70921,0.54615,1,0.69326,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344
2,17.7693,0.68066,0.58462,1,0.61514,0.00303611,0.00101204,0.00303611,0.00101204,0.00303611,0.00101204,0.00303611,0.00101204
3,23.5583,0.63184,0.72308,1,0.59736,0.00425405,0.00141802,0.00425405,0.00141802,0.00425405,0.00141802,0.00425405,0.00141802
4,32.2684,0.60119,0.73846,1,0.5397,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
5,37.8695,0.55121,0.74615,1,0.5335,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
6,44.5425,0.50047,0.73077,1,0.45981,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
7,50.0352,0.48443,0.75385,1,0.46333,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
8,55.8332,0.45495,0.76923,1,0.55063,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
9,64.5804,0.452,0.76154,1,0.52803,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
10,70.328,0.4325,0.77692,1,0.41299,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
11,75.9714,0.43482,0.78462,1,0.36284,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678
12,81.776,0.39179,0.79231,1,0.38496,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758
13,87.4587,0.39471,0.79231,1,0.34592,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
14,93.0492,0.3617,0.78462,1,0.37673,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714
15,101.512,0.37468,0.79231,1,0.37656,0.000380076,0.000126692,0.000380076,0.000126692,0.000380076,0.000126692,0.000380076,0.000126692
