epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.05246,0.71393,0.56923,1,0.63838,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344
2,15.5196,0.68093,0.59231,1,0.59014,0.00303611,0.00101204,0.00303611,0.00101204,0.00303611,0.00101204,0.00303611,0.00101204
3,21.2302,0.62693,0.73846,1,0.58525,0.00425405,0.00141802,0.00425405,0.00141802,0.00425405,0.00141802,0.00425405,0.00141802
4,29.9227,0.60347,0.72308,1,0.48633,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
5,35.3772,0.53807,0.70769,1,0.50937,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
6,41.7925,0.51167,0.77692,1,0.43315,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
7,47.3744,0.5127,0.78462,1,0.43667,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
8,53.102,0.45711,0.8,1,0.49277,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
9,61.6386,0.43515,0.77692,1,0.55518,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
10,67.3699,0.40762,0.76154,1,0.4313,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
11,72.9621,0.41869,0.77692,1,0.43271,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678
12,78.6223,0.38286,0.77692,1,0.48721,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758,0.00137027,0.000456758
13,84.0765,0.37117,0.77692,1,0.454,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
