epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.57506,1.67243,0.46923,0.98462,1.40879,0.000425959,0.000425959,0.068426
2,6.82721,1.16754,0.46154,0.98462,1.26143,0.00080835,0.00080835,0.0358083
3,8.88932,0.96754,0.47692,0.97692,1.55527,0.00113299,0.00113299,0.00313299
4,13.7193,0.78042,0.49231,0.96154,1.60713,0.0010686,0.0010686,0.0010686
5,15.7683,0.71396,0.53077,0.97692,1.34512,0.000981094,0.000981094,0.000981094
6,18.6714,0.56654,0.50769,0.98462,2.97227,0.000893587,0.000893587,0.000893587
7,20.8541,0.50278,0.49231,0.98462,1.46984,0.00080608,0.00080608,0.00080608
8,22.9902,0.45701,0.47692,0.97692,2.40059,0.000718573,0.000718573,0.000718573
9,25.1583,0.44422,0.53077,0.97692,1.55649,0.000631066,0.000631066,0.000631066
10,27.3371,0.34759,0.5,0.96923,2.20645,0.000543559,0.000543559,0.000543559
11,29.4501,0.39273,0.46923,0.96154,2.29258,0.000456052,0.000456052,0.000456052
12,31.6246,0.32802,0.49231,0.96923,2.27656,0.000368545,0.000368545,0.000368545
13,33.7454,0.26569,0.51538,0.97692,1.95859,0.000281038,0.000281038,0.000281038
14,35.9704,0.25259,0.52308,0.97692,2.0959,0.000193531,0.000193531,0.000193531
15,38.2758,0.25715,0.53077,0.96923,1.96055,0.000106024,0.000106024,0.000106024
