epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.55214,0.67061,0.60465,1,0.66201,6.3239e-05,6.3239e-05,0.0680632
2,6.75007,0.54314,0.65116,1,0.71211,0.00012045,0.00012045,0.0351205
3,8.78012,0.45738,0.66667,1,0.63018,0.000169534,0.000169534,0.00216953
4,10.9462,0.39619,0.70543,1,0.49946,0.00016068,0.00016068,0.00016068
5,13.1336,0.31001,0.70543,1,0.5368,0.000148366,0.000148366,0.000148366
6,16.2612,0.28672,0.67442,1,0.54872,0.000136052,0.000136052,0.000136052
7,18.423,0.24883,0.68217,1,0.99473,0.000123738,0.000123738,0.000123738
8,20.5809,0.19761,0.72093,1,0.70303,0.000111424,0.000111424,0.000111424
9,22.7001,0.1778,0.72093,1,0.63962,9.91096e-05,9.91096e-05,9.91096e-05
10,24.9071,0.177,0.70543,1,0.65632,8.67956e-05,8.67956e-05,8.67956e-05
11,29.6841,0.18056,0.68992,1,0.6937,7.44815e-05,7.44815e-05,7.44815e-05
12,31.8365,0.13456,0.73643,1,0.65046,6.21675e-05,6.21675e-05,6.21675e-05
13,34.1261,0.11466,0.69767,1,0.69098,4.98534e-05,4.98534e-05,4.98534e-05
14,36.3145,0.12527,0.72093,1,0.70959,3.75394e-05,3.75394e-05,3.75394e-05
15,38.4254,0.13295,0.72093,1,0.69365,2.52254e-05,2.52254e-05,2.52254e-05
