epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.29982,1.82831,0.36154,0.94615,1.62344,0.00226328,0.00226328,0.0780209
2,8.41113,1.59815,0.44615,0.97692,1.42285,0.00430202,0.00430202,0.0550596
3,11.8923,1.34683,0.38462,0.96154,1.45234,0.00604095,0.00604095,0.0317985
4,17.1223,1.18075,0.50769,1,1.32432,0.00748008,0.00748008,0.00823766
5,19.955,1.04287,0.46923,0.98462,1.46875,0.00693757,0.00693757,0.00693757
6,25.2973,0.90953,0.45385,0.98462,1.25918,0.00633796,0.00633796,0.00633796
7,33.1496,0.8043,0.53077,0.98462,1.40684,0.00573835,0.00573835,0.00573835
8,36.2259,0.74244,0.52308,0.98462,1.17012,0.00513874,0.00513874,0.00513874
9,39.0993,0.76462,0.5,0.99231,1.20957,0.00453913,0.00453913,0.00453913
10,42.7249,0.67196,0.53846,0.99231,1.50928,0.00393951,0.00393951,0.00393951
11,45.5576,0.64134,0.56154,0.97692,1.12686,0.0033399,0.0033399,0.0033399
12,48.9734,0.54292,0.55385,0.97692,1.1207,0.00274029,0.00274029,0.00274029
13,53.0943,0.55521,0.56154,0.98462,1.22559,0.00214068,0.00214068,0.00214068
14,56.5958,0.44725,0.58462,0.98462,1.29805,0.00154107,0.00154107,0.00154107
15,60.2213,0.49555,0.56154,0.98462,1.16572,0.000941458,0.000941458,0.000941458
