epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.7409,1.69913,0.33077,0.95385,1.65703,0.000111649,0.000111649,0.0681116
2,15.9934,1.29541,0.53846,1,1.32969,0.00021352,0.00021352,0.0352135
3,19.1838,1.12101,0.48462,0.99231,1.28027,0.000301921,0.000301921,0.00230192
4,22.4941,0.90177,0.52308,0.99231,1.25254,0.000287674,0.000287674,0.000287674
5,28.6683,0.80393,0.48462,0.98462,1.43672,0.000267264,0.000267264,0.000267264
6,34.9766,0.6839,0.56923,1,1.13262,0.000246855,0.000246855,0.000246855
7,39.5769,0.56147,0.53077,0.99231,1.77266,0.000226446,0.000226446,0.000226446
8,46.5634,0.53437,0.52308,0.98462,1.96621,0.000206036,0.000206036,0.000206036
9,50.2384,0.47748,0.53077,1,1.32285,0.000185627,0.000185627,0.000185627
10,54.6302,0.34851,0.54615,0.99231,1.61875,0.000165217,0.000165217,0.000165217
11,58.1082,0.32099,0.56154,0.99231,1.04413,0.000144808,0.000144808,0.000144808
12,62.6472,0.3426,0.59231,0.98462,1.31016,0.000124399,0.000124399,0.000124399
13,66.8572,0.28232,0.56154,0.98462,1.63789,0.000103989,0.000103989,0.000103989
14,70.9775,0.23363,0.57692,0.98462,1.89609,8.35798e-05,8.35798e-05,8.35798e-05
15,74.4635,0.27206,0.58462,0.99231,1.27578,6.31704e-05,6.31704e-05,6.31704e-05
