epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.75446,0.73433,0.53077,1,0.67832,0.000203467,0.000203467,0.0682035
2,6.08321,0.71702,0.60769,1,0.5958,0.000389723,0.000389723,0.0353897
3,8.45548,0.64918,0.63077,1,0.57378,0.000552045,0.000552045,0.00255204
4,10.7517,0.62113,0.62308,1,0.54702,0.000527049,0.000527049,0.000527049
5,13.1578,0.59228,0.67692,1,0.54106,0.000490786,0.000490786,0.000490786
6,16.3025,0.56562,0.65385,1,0.59009,0.000454524,0.000454524,0.000454524
7,18.4403,0.58157,0.67692,1,0.58975,0.000418261,0.000418261,0.000418261
8,20.5073,0.55114,0.66923,1,0.56216,0.000381999,0.000381999,0.000381999
9,22.4812,0.55811,0.67692,1,0.50981,0.000345737,0.000345737,0.000345737
10,24.7282,0.53176,0.69231,1,0.47744,0.000309474,0.000309474,0.000309474
11,26.8624,0.54816,0.69231,1,0.48599,0.000273212,0.000273212,0.000273212
12,29.0051,0.51971,0.66923,1,0.66206,0.000236949,0.000236949,0.000236949
13,31.4158,0.52798,0.70769,1,0.47041,0.000200687,0.000200687,0.000200687
14,33.484,0.53501,0.7,1,0.5002,0.000164425,0.000164425,0.000164425
15,35.72,0.52874,0.70769,1,0.65967,0.000128162,0.000128162,0.000128162
