epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.3712,1.7204,0.4,0.98462,1.37012,6.3239e-05,6.3239e-05,0.0680632
2,6.4943,1.33058,0.49231,0.96154,1.20146,0.00012045,0.00012045,0.0351205
3,8.53059,1.11112,0.50769,0.97692,1.34951,0.000169534,0.000169534,0.00216953
4,10.5406,0.94574,0.55385,0.97692,1.22617,0.00016068,0.00016068,0.00016068
5,15.9619,0.8243,0.56154,0.98462,1.20605,0.000148366,0.000148366,0.000148366
6,19.1576,0.64201,0.56154,0.98462,1.01704,0.000136052,0.000136052,0.000136052
7,21.3341,0.57308,0.52308,0.98462,1.55557,0.000123738,0.000123738,0.000123738
8,23.5549,0.51251,0.53846,0.98462,1.23535,0.000111424,0.000111424,0.000111424
9,25.722,0.48545,0.46154,0.98462,1.17917,9.91096e-05,9.91096e-05,9.91096e-05
10,27.8864,0.39516,0.56154,0.98462,1.24658,8.67956e-05,8.67956e-05,8.67956e-05
11,30.0225,0.39038,0.56154,0.98462,1.22051,7.44815e-05,7.44815e-05,7.44815e-05
12,32.12,0.33574,0.54615,0.98462,1.16742,6.21675e-05,6.21675e-05,6.21675e-05
13,34.2183,0.30701,0.53846,0.98462,1.22637,4.98534e-05,4.98534e-05,4.98534e-05
14,36.2495,0.26992,0.53846,0.98462,1.4834,3.75394e-05,3.75394e-05,3.75394e-05
15,38.5308,0.30323,0.55385,0.98462,1.29746,2.52254e-05,2.52254e-05,2.52254e-05
