epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.09648,0.71006,0.53077,1,0.68643,3.32442e-06,3.32442e-06,0.0680033
2,6.2491,0.69531,0.62308,1,0.6375,6.3768e-06,6.3768e-06,0.0350064
3,8.42895,0.63943,0.62308,1,0.62939,9.04747e-06,9.04747e-06,0.00200905
4,10.5718,0.64092,0.61538,1,0.6063,8.65376e-06,8.65376e-06,8.65376e-06
5,12.6916,0.64704,0.61538,1,0.63955,8.07541e-06,8.07541e-06,8.07541e-06
6,16.013,0.65528,0.62308,1,0.5917,7.49705e-06,7.49705e-06,7.49705e-06
7,18.4488,0.63352,0.60769,1,0.62842,6.9187e-06,6.9187e-06,6.9187e-06
8,20.5224,0.65083,0.60769,1,0.65469,6.34034e-06,6.34034e-06,6.34034e-06
9,22.871,0.63781,0.63846,1,0.62803,5.76199e-06,5.76199e-06,5.76199e-06
10,25.153,0.64928,0.62308,1,0.6334,5.18363e-06,5.18363e-06,5.18363e-06
11,27.3827,0.65383,0.63077,1,0.59688,4.60528e-06,4.60528e-06,4.60528e-06
12,29.8011,0.62651,0.63077,1,0.59722,4.02693e-06,4.02693e-06,4.02693e-06
13,31.9585,0.6538,0.63077,1,0.61738,3.44857e-06,3.44857e-06,3.44857e-06
14,34.0491,0.61492,0.63077,1,0.67725,2.87022e-06,2.87022e-06,2.87022e-06
15,36.2844,0.62315,0.62308,1,0.60264,2.29186e-06,2.29186e-06,2.29186e-06
