epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.52791,0.68357,0.72308,1,0.63608,0.000310969,0.000310969,0.068311
2,6.8946,0.61681,0.54615,1,0.85625,0.00059246,0.00059246,0.0355925
3,8.99855,0.545,0.76154,1,0.51866,0.000834153,0.000834153,0.00283415
4,11.167,0.48334,0.67692,1,0.62275,0.000790876,0.000790876,0.000790876
5,15.6967,0.42415,0.73846,1,0.78276,0.000730576,0.000730576,0.000730576
6,18.7308,0.36918,0.70769,1,0.67266,0.000670275,0.000670275,0.000670275
7,20.9488,0.36524,0.7,1,0.83516,0.000609975,0.000609975,0.000609975
8,23.1301,0.31484,0.71538,1,2.01157,0.000549675,0.000549675,0.000549675
9,25.2419,0.31042,0.75385,1,1.05527,0.000489374,0.000489374,0.000489374
10,27.3921,0.22887,0.70769,1,0.62312,0.000429074,0.000429074,0.000429074
11,29.4866,0.22651,0.7,1,0.68405,0.000368773,0.000368773,0.000368773
12,31.6426,0.18231,0.73077,1,0.71318,0.000308473,0.000308473,0.000308473
13,33.7389,0.18174,0.73077,1,0.7367,0.000248173,0.000248173,0.000248173
14,35.8323,0.13309,0.73077,1,0.92275,0.000187872,0.000187872,0.000187872
15,37.9143,0.13492,0.71538,1,0.68591,0.000127572,0.000127572,0.000127572
