epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.56071,1.79432,0.35385,0.94615,1.47598,1.80832e-05,1.80832e-05,0.0806241
2,10.5976,1.54232,0.48462,0.98462,1.46055,3.45486e-05,3.45486e-05,0.0606406
3,13.3451,1.39419,0.47692,1,1.31191,4.87975e-05,4.87975e-05,0.0406549
4,16.0109,1.25937,0.56923,1,1.18594,6.08299e-05,6.08299e-05,0.0206669
5,18.7268,1.20521,0.53846,0.99231,1.27559,7.06458e-05,7.06458e-05,0.000676706
6,22.7114,1.08161,0.56154,0.99231,1.07852,6.55353e-05,6.55353e-05,6.55353e-05
7,25.4909,1.06455,0.51538,1,1.0583,5.99941e-05,5.99941e-05,5.99941e-05
8,28.3754,1.02063,0.52308,0.99231,1.1416,5.44529e-05,5.44529e-05,5.44529e-05
9,31.2578,0.96946,0.54615,0.99231,1.06865,4.89117e-05,4.89117e-05,4.89117e-05
10,34.1078,0.94892,0.53846,0.99231,1.30313,4.33705e-05,4.33705e-05,4.33705e-05
11,37.1742,0.90478,0.52308,0.99231,0.99395,3.78293e-05,3.78293e-05,3.78293e-05
12,42.4848,0.88931,0.50769,0.99231,1.22363,3.22881e-05,3.22881e-05,3.22881e-05
13,45.3191,0.82789,0.52308,0.99231,1.16309,2.67469e-05,2.67469e-05,2.67469e-05
14,48.1658,0.79205,0.53077,0.99231,1.2043,2.12057e-05,2.12057e-05,2.12057e-05
15,50.8188,0.83403,0.52308,0.99231,1.07559,1.56645e-05,1.56645e-05,1.56645e-05
