epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.36476,0.64902,0.66154,1,0.61924,6.3239e-05,6.3239e-05,0.0680632
2,6.54257,0.5683,0.66154,1,0.53977,0.00012045,0.00012045,0.0351205
3,11.3424,0.48138,0.72308,1,0.50618,0.000169534,0.000169534,0.00216953
4,13.5414,0.41591,0.67692,1,0.50421,0.00016068,0.00016068,0.00016068
5,16.0175,0.34278,0.7,1,0.50117,0.000148366,0.000148366,0.000148366
6,19.2176,0.28256,0.7,1,0.515,0.000136052,0.000136052,0.000136052
7,21.3906,0.24403,0.72308,1,0.58052,0.000123738,0.000123738,0.000123738
8,23.4884,0.23536,0.75385,1,0.81157,0.000111424,0.000111424,0.000111424
9,28.0942,0.18447,0.72308,1,0.69692,9.91096e-05,9.91096e-05,9.91096e-05
10,30.0315,0.14647,0.76154,1,0.95347,8.67956e-05,8.67956e-05,8.67956e-05
11,32.438,0.15621,0.76923,1,0.61667,7.44815e-05,7.44815e-05,7.44815e-05
12,34.4582,0.14683,0.76923,1,0.63102,6.21675e-05,6.21675e-05,6.21675e-05
13,37.4727,0.13773,0.75385,1,0.59418,4.98534e-05,4.98534e-05,4.98534e-05
14,40.1172,0.12651,0.75385,1,0.65928,3.75394e-05,3.75394e-05,3.75394e-05
15,43.0798,0.13164,0.73077,1,0.7002,2.52254e-05,2.52254e-05,2.52254e-05
