epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.76565,1.67438,0.34884,0.96899,1.42949,2.62417e-05,2.62417e-05,0.0680262
2,9.68545,1.45922,0.48062,0.96899,1.26963,4.98513e-05,4.98513e-05,0.0350499
3,13.2009,1.31279,0.49612,0.9845,1.55566,6.99557e-05,6.99557e-05,0.00206996
4,16.8312,1.23597,0.51938,0.97674,1.05796,6.60725e-05,6.60725e-05,6.60725e-05
5,20.9939,1.18121,0.51938,0.99225,1.35391,6.07616e-05,6.07616e-05,6.07616e-05
6,29.6711,1.13203,0.50388,0.99225,0.98818,5.54507e-05,5.54507e-05,5.54507e-05
7,33.6755,1.07326,0.57364,0.99225,1.00479,5.01399e-05,5.01399e-05,5.01399e-05
8,37.3621,1.06375,0.58915,1,0.94058,4.4829e-05,4.4829e-05,4.4829e-05
9,41.3115,0.9895,0.5969,0.99225,1.04453,3.95181e-05,3.95181e-05,3.95181e-05
10,45.6111,0.94101,0.60465,0.99225,1.31504,3.42072e-05,3.42072e-05,3.42072e-05
11,49.263,0.97194,0.5969,0.99225,1.19482,2.88963e-05,2.88963e-05,2.88963e-05
12,53.8704,0.91742,0.57364,0.99225,1.03809,2.35854e-05,2.35854e-05,2.35854e-05
13,58.6008,0.90631,0.5969,0.9845,1.3917,1.82745e-05,1.82745e-05,1.82745e-05
14,63.319,0.88564,0.6124,0.99225,0.91416,1.29637e-05,1.29637e-05,1.29637e-05
15,68.5703,0.87492,0.56589,0.9845,0.88291,7.65277e-06,7.65277e-06,7.65277e-06
