epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.36169,0.71701,0.66154,1,0.61768,0.00063457,0.00063457,0.0686346
2,6.35085,0.57657,0.70769,1,0.45767,0.00120447,0.00120447,0.0362045
3,8.32773,0.46974,0.73077,1,0.56631,0.00168857,0.00168857,0.00368857
4,10.462,0.43788,0.74615,1,0.53027,0.00159303,0.00159303,0.00159303
5,12.3532,0.37195,0.74615,1,0.57134,0.00146304,0.00146304,0.00146304
6,15.7305,0.35665,0.73846,1,0.66504,0.00133304,0.00133304,0.00133304
7,18.13,0.29952,0.73846,1,0.52377,0.00120304,0.00120304,0.00120304
8,20.4903,0.2787,0.76154,1,0.50359,0.00107304,0.00107304,0.00107304
9,22.6628,0.25201,0.77692,1,0.48695,0.000943039,0.000943039,0.000943039
10,24.6284,0.22133,0.78462,1,0.48155,0.00081304,0.00081304,0.00081304
11,26.895,0.23164,0.76154,1,0.61782,0.000683041,0.000683041,0.000683041
12,29.089,0.19685,0.75385,1,0.51792,0.000553042,0.000553042,0.000553042
13,31.4315,0.20008,0.76923,1,0.61177,0.000423043,0.000423043,0.000423043
14,33.2762,0.18172,0.75385,1,0.55548,0.000293044,0.000293044,0.000293044
15,35.3366,0.20834,0.73846,1,0.55349,0.000163045,0.000163045,0.000163045
