epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.34253,0.66114,0.68462,1,0.58447,0.000237162,0.000237162,0.0682372
2,6.41626,0.54381,0.62308,1,0.74348,0.000451959,0.000451959,0.035452
3,8.65219,0.45907,0.66923,1,1.02207,0.000636523,0.000636523,0.00263652
4,14.3132,0.47581,0.66154,1,0.86062,0.000603705,0.000603705,0.000603705
5,16.4168,0.39458,0.56923,1,0.83042,0.000557897,0.000557897,0.000557897
6,19.6489,0.30791,0.75385,1,0.6436,0.000512089,0.000512089,0.000512089
7,21.8807,0.30767,0.70769,1,0.74167,0.000466281,0.000466281,0.000466281
8,24.1089,0.25231,0.72308,1,0.79448,0.000420472,0.000420472,0.000420472
9,26.2849,0.23518,0.73077,1,0.88516,0.000374664,0.000374664,0.000374664
10,28.461,0.18027,0.73846,1,1.20938,0.000328856,0.000328856,0.000328856
11,30.5773,0.17129,0.71538,1,0.70575,0.000283048,0.000283048,0.000283048
12,32.6637,0.15952,0.76154,1,0.6654,0.00023724,0.00023724,0.00023724
13,34.7867,0.13603,0.73846,1,0.5996,0.000191431,0.000191431,0.000191431
14,36.8843,0.10707,0.74615,1,0.62406,0.000145623,0.000145623,0.000145623
15,39.1283,0.09948,0.78462,1,0.68306,9.98148e-05,9.98148e-05,9.98148e-05
