epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.64716,0.67362,0.64615,1,0.63359,2.62417e-05,2.62417e-05,0.0680262
2,6.8245,0.57618,0.66154,1,0.68711,4.98513e-05,4.98513e-05,0.0350499
3,8.92707,0.50162,0.67692,1,0.55889,6.99557e-05,6.99557e-05,0.00206996
4,13.4758,0.46779,0.71538,1,0.51602,6.60725e-05,6.60725e-05,6.60725e-05
5,15.5925,0.41556,0.69231,1,0.52866,6.07616e-05,6.07616e-05,6.07616e-05
6,18.6598,0.37623,0.68462,1,0.56226,5.54507e-05,5.54507e-05,5.54507e-05
7,21.0387,0.36163,0.68462,1,0.71748,5.01399e-05,5.01399e-05,5.01399e-05
8,23.3214,0.34542,0.73077,1,0.53984,4.4829e-05,4.4829e-05,4.4829e-05
9,25.4058,0.32731,0.73846,1,0.5626,3.95181e-05,3.95181e-05,3.95181e-05
10,27.4538,0.2878,0.71538,1,0.55596,3.42072e-05,3.42072e-05,3.42072e-05
11,29.5109,0.29228,0.71538,1,0.58062,2.88963e-05,2.88963e-05,2.88963e-05
12,31.7141,0.23843,0.72308,1,0.77593,2.35854e-05,2.35854e-05,2.35854e-05
13,33.8191,0.24828,0.71538,1,0.50336,1.82745e-05,1.82745e-05,1.82745e-05
14,35.9472,0.26545,0.71538,1,0.51249,1.29637e-05,1.29637e-05,1.29637e-05
15,38.0667,0.24885,0.73077,1,0.86064,7.65277e-06,7.65277e-06,7.65277e-06
