epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.73627,1.75174,0.43846,0.96154,1.60332,0.000425959,0.000425959,0.068426
2,10.6525,1.39507,0.46923,0.99231,1.57187,0.00080835,0.00080835,0.0358083
3,13.4774,1.24259,0.42308,0.99231,1.24678,0.00113299,0.00113299,0.00313299
4,16.2018,1.24271,0.43077,0.98462,1.48477,0.0010686,0.0010686,0.0010686
5,18.9639,1.20733,0.46923,0.97692,2.12207,0.000981094,0.000981094,0.000981094
6,22.7923,1.10752,0.48462,0.97692,1.23988,0.000893587,0.000893587,0.000893587
7,25.7137,1.12721,0.5,0.96923,1.37441,0.00080608,0.00080608,0.00080608
8,28.5603,1.03111,0.48462,0.98462,1.74258,0.000718573,0.000718573,0.000718573
9,31.8286,0.97308,0.51538,0.99231,1.5127,0.000631066,0.000631066,0.000631066
10,34.7442,0.96154,0.50769,0.98462,1.42383,0.000543559,0.000543559,0.000543559
11,39.7438,0.87135,0.53846,0.99231,1.11191,0.000456052,0.000456052,0.000456052
12,42.7409,0.79403,0.53846,1,1.15371,0.000368545,0.000368545,0.000368545
13,45.597,0.71884,0.54615,1,1.26172,0.000281038,0.000281038,0.000281038
14,48.3931,0.62899,0.55385,1,1.64023,0.000193531,0.000193531,0.000193531
15,51.1913,0.65696,0.54615,1,1.24805,0.000106024,0.000106024,0.000106024
