epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.47411,1.59917,0.51938,1,1.16602,0.000111649,0.000111649,0.0681116
2,6.56516,1.19925,0.5969,0.99225,0.90493,0.00021352,0.00021352,0.0352135
3,8.77927,0.94156,0.68217,1,1.09346,0.000301921,0.000301921,0.00230192
4,10.8744,0.74045,0.5814,1,0.88579,0.000287674,0.000287674,0.000287674
5,13.0927,0.57153,0.60465,0.99225,1.09873,0.000267264,0.000267264,0.000267264
6,16.1866,0.48486,0.6124,1,0.86968,0.000246855,0.000246855,0.000246855
7,18.4513,0.40491,0.62791,1,0.88403,0.000226446,0.000226446,0.000226446
8,20.7328,0.37282,0.60465,1,0.92302,0.000206036,0.000206036,0.000206036
9,22.898,0.30826,0.60465,1,0.93152,0.000185627,0.000185627,0.000185627
10,24.9437,0.31142,0.60465,1,1.48955,0.000165217,0.000165217,0.000165217
11,27.1118,0.27618,0.54264,1,1.28848,0.000144808,0.000144808,0.000144808
12,29.185,0.21662,0.57364,1,1.0625,0.000124399,0.000124399,0.000124399
13,34.1547,0.18988,0.62016,0.99225,1.02964,0.000103989,0.000103989,0.000103989
14,36.2386,0.20112,0.58915,1,0.98137,8.35798e-05,8.35798e-05,8.35798e-05
15,38.3324,0.19375,0.56589,1,0.93006,6.31704e-05,6.31704e-05,6.31704e-05
