epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.74297,0.75104,0.5814,1,0.65684,0.000203467,0.000203467,0.0682035
2,5.87928,0.7001,0.57364,1,0.56252,0.000389723,0.000389723,0.0353897
3,8.13789,0.65242,0.6124,1,0.57373,0.000552045,0.000552045,0.00255204
4,10.2941,0.60834,0.63566,1,0.5438,0.000527049,0.000527049,0.000527049
5,12.497,0.58403,0.68217,1,0.56924,0.000490786,0.000490786,0.000490786
6,15.9443,0.56675,0.68217,1,0.48625,0.000454524,0.000454524,0.000454524
7,18.0813,0.56429,0.70543,1,0.66387,0.000418261,0.000418261,0.000418261
8,20.7065,0.54526,0.71318,1,0.56855,0.000381999,0.000381999,0.000381999
9,23.1506,0.52477,0.70543,1,0.53511,0.000345737,0.000345737,0.000345737
10,25.307,0.53127,0.69767,1,0.49658,0.000309474,0.000309474,0.000309474
11,27.1507,0.55127,0.70543,1,0.46997,0.000273212,0.000273212,0.000273212
12,29.6371,0.53062,0.71318,1,0.54907,0.000236949,0.000236949,0.000236949
13,31.8687,0.53034,0.69767,1,0.5353,0.000200687,0.000200687,0.000200687
14,33.9568,0.51291,0.71318,1,0.476,0.000164425,0.000164425,0.000164425
15,35.9453,0.49495,0.72093,1,0.54287,0.000128162,0.000128162,0.000128162
