epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.33119,1.73211,0.42308,0.93846,1.64492,7.03682e-06,7.03682e-06,0.0806131
2,10.4663,1.43011,0.47692,0.99231,1.42578,1.35118e-05,1.35118e-05,0.0606196
3,13.3736,1.24455,0.52308,1,1.30723,1.91929e-05,1.91929e-05,0.0406253
4,16.2581,1.12655,0.50769,1,1.13857,2.40802e-05,2.40802e-05,0.0206301
5,19.1069,1.07267,0.50769,1,1.19492,2.81738e-05,2.81738e-05,0.000634234
6,22.8899,0.97375,0.54615,1,1.45723,2.63611e-05,2.63611e-05,2.63611e-05
7,25.7399,0.99914,0.55385,1,0.96921,2.43766e-05,2.43766e-05,2.43766e-05
8,28.4681,0.95758,0.54615,1,1.41094,2.23921e-05,2.23921e-05,2.23921e-05
9,31.2884,0.92619,0.56154,1,1.1627,2.04076e-05,2.04076e-05,2.04076e-05
10,34.1623,0.89001,0.54615,1,1.22705,1.84231e-05,1.84231e-05,1.84231e-05
11,37.0245,0.88545,0.54615,1,1.08203,1.64385e-05,1.64385e-05,1.64385e-05
12,42.0185,0.85349,0.56154,1,1.38242,1.4454e-05,1.4454e-05,1.4454e-05
13,44.9142,0.89247,0.56923,1,1.12031,1.24695e-05,1.24695e-05,1.24695e-05
14,47.9123,0.81553,0.56923,1,1.16035,1.0485e-05,1.0485e-05,1.0485e-05
15,50.85,0.84183,0.57692,1,1.27549,8.50053e-06,8.50053e-06,8.50053e-06
