epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.63189,1.82824,0.25385,0.93846,1.80234,0.00161762,0.00161762,0.0822237
2,9.14555,1.65817,0.33846,0.92308,1.675,0.00310276,0.00310276,0.0637088
3,14.4156,1.4732,0.39231,0.96923,1.45586,0.00440207,0.00440207,0.0450081
4,17.6125,1.23809,0.4,0.97692,1.27461,0.00551554,0.00551554,0.0261216
5,20.504,1.20037,0.48462,0.95385,1.46914,0.00644317,0.00644317,0.00704923
6,24.7176,1.00161,0.50769,0.96923,1.56992,0.00601786,0.00601786,0.00601786
7,27.8936,0.9867,0.53846,0.96923,1.09634,0.00555327,0.00555327,0.00555327
8,31.0369,0.94537,0.56154,0.98462,1.48867,0.00508868,0.00508868,0.00508868
9,34.1094,0.85845,0.51538,0.99231,1.31533,0.00462408,0.00462408,0.00462408
10,37.2163,0.84383,0.56923,0.99231,1.16455,0.00415949,0.00415949,0.00415949
11,40.4035,0.81851,0.50769,0.98462,1.21836,0.00369489,0.00369489,0.00369489
12,43.5789,0.71273,0.59231,0.96923,1.38789,0.0032303,0.0032303,0.0032303
13,48.5608,0.65736,0.53846,0.97692,1.24082,0.00276571,0.00276571,0.00276571
14,51.5751,0.65003,0.56154,0.98462,1.23105,0.00230111,0.00230111,0.00230111
15,54.5281,0.63266,0.56154,0.97692,1.25977,0.00183652,0.00183652,0.00183652
