epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.85414,1.80548,0.26923,0.91538,1.76426,0.00226327,0.00226327,0.0780208
2,13.1718,1.57652,0.34615,0.98462,1.55117,0.00442012,0.00442012,0.0551777
3,17.903,1.36445,0.40769,0.96923,1.40313,0.00639707,0.00639707,0.0321547
4,22.6556,1.16979,0.46923,0.96923,1.21824,0.00819415,0.00819415,0.00895173
5,27.0082,1.05955,0.44615,0.96154,1.78125,0.00789694,0.00789694,0.00789694
6,31.6783,1.01306,0.52308,0.96923,2.01895,0.00753717,0.00753717,0.00753717
7,37.7249,0.8976,0.57692,0.98462,1.12708,0.0071774,0.0071774,0.0071774
8,42.3313,0.87442,0.53077,0.97692,1.54492,0.00681764,0.00681764,0.00681764
9,46.8087,0.81509,0.50769,0.96154,1.26777,0.00645787,0.00645787,0.00645787
10,51.2772,0.63083,0.51538,0.98462,1.37393,0.0060981,0.0060981,0.0060981
11,55.6839,0.6878,0.52308,0.98462,1.38789,0.00573834,0.00573834,0.00573834
12,60.1415,0.58881,0.50769,0.96923,1.52656,0.00537857,0.00537857,0.00537857
