epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.43239,0.66184,0.71538,1,0.61284,6.3239e-05,6.3239e-05,0.0680632
2,6.61827,0.5786,0.77692,1,0.46323,0.00012045,0.00012045,0.0351205
3,8.70913,0.52143,0.75385,1,0.45249,0.000169534,0.000169534,0.00216953
4,13.4755,0.42078,0.75385,1,0.50063,0.00016068,0.00016068,0.00016068
5,15.5523,0.33394,0.76923,1,0.52056,0.000148366,0.000148366,0.000148366
6,18.8337,0.27976,0.75385,1,0.42202,0.000136052,0.000136052,0.000136052
7,21.0513,0.25338,0.78462,1,0.43643,0.000123738,0.000123738,0.000123738
8,23.3009,0.23953,0.80769,1,0.74084,0.000111424,0.000111424,0.000111424
9,25.4504,0.19086,0.74615,1,0.58296,9.91096e-05,9.91096e-05,9.91096e-05
10,27.5937,0.16232,0.74615,1,0.56743,8.67956e-05,8.67956e-05,8.67956e-05
11,29.7277,0.20338,0.77692,1,0.42375,7.44815e-05,7.44815e-05,7.44815e-05
12,31.8101,0.15818,0.76923,1,0.43979,6.21675e-05,6.21675e-05,6.21675e-05
13,33.896,0.15546,0.8,1,0.39465,4.98534e-05,4.98534e-05,4.98534e-05
14,36.0711,0.11042,0.78462,1,0.4193,3.75394e-05,3.75394e-05,3.75394e-05
15,38.2445,0.12391,0.76923,1,0.44108,2.52254e-05,2.52254e-05,2.52254e-05
