epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.96284,0.74971,0.50769,1,0.75996,0.000203467,0.000203467,0.0682035
2,6.19515,0.70937,0.56923,1,0.58394,0.000389723,0.000389723,0.0353897
3,8.13807,0.63697,0.66154,1,0.62793,0.000552045,0.000552045,0.00255204
4,10.3428,0.60583,0.7,1,0.56006,0.000527049,0.000527049,0.000527049
5,12.553,0.58681,0.70769,1,0.56211,0.000490786,0.000490786,0.000490786
6,15.7035,0.59884,0.72308,1,0.53438,0.000454524,0.000454524,0.000454524
7,17.6886,0.57383,0.72308,1,0.5791,0.000418261,0.000418261,0.000418261
8,20.0506,0.57289,0.72308,1,0.49463,0.000381999,0.000381999,0.000381999
9,22.2288,0.53777,0.74615,1,0.50151,0.000345737,0.000345737,0.000345737
10,24.2059,0.54676,0.72308,1,0.50459,0.000309474,0.000309474,0.000309474
11,26.5885,0.56462,0.73077,1,0.54951,0.000273212,0.000273212,0.000273212
12,28.6904,0.54541,0.73077,1,0.49751,0.000236949,0.000236949,0.000236949
13,32.1765,0.54988,0.73846,1,0.5085,0.000200687,0.000200687,0.000200687
14,33.6725,0.52977,0.72308,1,0.48979,0.000164425,0.000164425,0.000164425
15,35.5326,0.51389,0.71538,1,0.46655,0.000128162,0.000128162,0.000128162
