epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.19418,0.7129,0.56923,1,0.65801,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344
2,15.6481,0.69069,0.58462,1,0.62236,0.00303611,0.00101204,0.00303611,0.00101204,0.00303611,0.00101204,0.00303611,0.00101204
3,21.4161,0.62942,0.71538,1,0.59971,0.00425405,0.00141802,0.00425405,0.00141802,0.00425405,0.00141802,0.00425405,0.00141802
4,27.1559,0.59218,0.71538,1,0.52759,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
5,35.7249,0.54465,0.75385,1,0.51401,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
6,42.3223,0.50679,0.75385,1,0.5069,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
7,47.9998,0.49019,0.73077,1,0.54048,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
8,53.6952,0.43606,0.70769,1,0.52666,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
9,59.2411,0.41933,0.72308,1,0.5228,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
10,67.9966,0.38125,0.72308,1,0.61816,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
